participantID,field,duration,subject_condition,graph_condition,group,question,time
s51317,Humanities,3579,warning,control,B,30,62.491
s51317,Humanities,3579,warning,truncated,B,31,33.297
s51317,Humanities,3579,warning,control,B,32,18.101
s51317,Humanities,3579,warning,truncated,B,33,31.169
s51317,Humanities,3579,warning,control,B,34,19.463
s51317,Humanities,3579,warning,truncated,B,35,35.73
s51317,Humanities,3579,warning,control,B,36,20.967
s51317,Humanities,3579,warning,truncated,B,37,27.927
s51317,Humanities,3579,warning,control,B,38,16.869
s51317,Humanities,3579,warning,truncated,B,39,22.896
s51317,Humanities,3579,warning,control,B,40,27.788
s51318,Humanities,302439,warning,NA,A,instructions,70.381
s51318,Humanities,302439,warning,control,A,1,37.79
s51318,Humanities,302439,warning,truncated,A,2,19.173
s51318,Humanities,302439,warning,control,A,3,8.511
s51318,Humanities,302439,warning,truncated,A,4,16.469
s51318,Humanities,302439,warning,control,A,5,10.102
s51318,Humanities,302439,warning,truncated,A,6,10.38
s51318,Humanities,302439,warning,control,A,7,10.951
s51318,Humanities,302439,warning,truncated,A,8,15.259
s51318,Humanities,302439,warning,control,A,9,13.444
s51318,Humanities,302439,warning,truncated,A,10,11.25
s51318,Humanities,302439,warning,control,A,11,14.785
s51318,Humanities,302439,warning,truncated,A,12,24.487
s51318,Humanities,302439,warning,control,A,13,9.539
s51318,Humanities,302439,warning,truncated,A,14,19.836
s51318,Humanities,302439,warning,control,A,15,10.582
s51318,Humanities,302439,warning,truncated,A,16,10.216
s51318,Humanities,302439,warning,control,A,17,8.475
s51318,Humanities,302439,warning,truncated,A,18,10.783
s51318,Humanities,302439,warning,control,A,19,20.047
s51318,Humanities,302439,warning,truncated,A,20,20.023
s51318,Humanities,302439,warning,control,A,21,10.211
s51318,Humanities,302439,warning,truncated,A,22,10.845
s51318,Humanities,302439,warning,control,A,23,13.157
s51318,Humanities,302439,warning,truncated,A,24,12.546
s51318,Humanities,302439,warning,control,A,25,9.998
s51318,Humanities,302439,warning,truncated,A,26,14.924
s51318,Humanities,302439,warning,control,A,27,9.167
s51318,Humanities,302439,warning,truncated,A,28,11.308
s51318,Humanities,302439,warning,control,A,29,9.959
s51318,Humanities,302439,warning,truncated,A,30,10.178
s51318,Humanities,302439,warning,control,A,31,7.357
s51318,Humanities,302439,warning,truncated,A,32,22.827
s51318,Humanities,302439,warning,control,A,33,43.518
s51318,Humanities,302439,warning,truncated,A,34,16.014
s51318,Humanities,302439,warning,control,A,35,7.762
s51318,Humanities,302439,warning,truncated,A,36,16.511
s51318,Humanities,302439,warning,control,A,37,8.325
s51318,Humanities,302439,warning,truncated,A,38,22.724
s51318,Humanities,302439,warning,control,A,39,16.932
s51318,Humanities,302439,warning,truncated,A,40,15.711
s51319,Humanities,78840,no warning,NA,B,instructions,8.536
s51319,Humanities,78840,no warning,truncated,B,1,9.942
s51319,Humanities,78840,no warning,control,B,2,16.247
s51319,Humanities,78840,no warning,truncated,B,3,7.731
s51319,Humanities,78840,no warning,control,B,4,10.6
s51319,Humanities,78840,no warning,truncated,B,5,12.257
s51319,Humanities,78840,no warning,control,B,6,9.921
s51319,Humanities,78840,no warning,truncated,B,7,7.643
s51319,Humanities,78840,no warning,control,B,8,10.044
s51319,Humanities,78840,no warning,truncated,B,9,8.36
s51319,Humanities,78840,no warning,control,B,10,11.185
s51319,Humanities,78840,no warning,truncated,B,11,7.225
s51319,Humanities,78840,no warning,control,B,12,15.061
s51319,Humanities,78840,no warning,truncated,B,13,6.869
s51319,Humanities,78840,no warning,control,B,14,9.448
s51319,Humanities,78840,no warning,truncated,B,15,7.544
s51319,Humanities,78840,no warning,control,B,16,9.38
s51319,Humanities,78840,no warning,truncated,B,17,15.266
s51319,Humanities,78840,no warning,control,B,18,10.778
s51319,Humanities,78840,no warning,truncated,B,19,12.401
s51319,Humanities,78840,no warning,control,B,20,11.348
s51319,Humanities,78840,no warning,truncated,B,21,17.094
s51319,Humanities,78840,no warning,control,B,22,16.382
s51319,Humanities,78840,no warning,truncated,B,23,7.677
s51319,Humanities,78840,no warning,control,B,24,12.936
s51319,Humanities,78840,no warning,truncated,B,25,16.721
s51319,Humanities,78840,no warning,control,B,26,12.001
s51319,Humanities,78840,no warning,truncated,B,27,10.042
s51319,Humanities,78840,no warning,control,B,28,8.577
s51319,Humanities,78840,no warning,truncated,B,29,6.88
s51319,Humanities,78840,no warning,control,B,30,11.091
s51319,Humanities,78840,no warning,truncated,B,31,11.563
s51319,Humanities,78840,no warning,control,B,32,11.381
s51319,Humanities,78840,no warning,truncated,B,33,6.639
s51319,Humanities,78840,no warning,control,B,34,9.511
s51319,Humanities,78840,no warning,truncated,B,35,8.078
s51319,Humanities,78840,no warning,control,B,36,15.531
s51319,Humanities,78840,no warning,truncated,B,37,15.734
